                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.6606,                 1.0486,                 1.0168,                0.82278,                0.52564,                0.67341,                0.28966,                 2.0199,                 1.5616,                 1.3946,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6117,                 1.0589,                 1.0777,                 0.6697,                0.57394,                0.70148,                0.30668,                 1.9723,                 1.4865,                 1.3636,               0.000812,               0.000812,               0.000812
                     63,                 1.5106,                 1.3086,                 1.1228,                 0.6697,                0.57394,                0.70148,                0.30668,                 1.9723,                 1.4865,                 1.3636,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6182,                 1.2016,                 1.0445,                0.72075,                0.60377,                0.69675,                 0.2995,                 1.9588,                 1.4814,                 1.3453,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4945,                  1.014,                 1.0225,                0.72075,                0.60377,                0.69675,                 0.2995,                 1.9588,                 1.4814,                 1.3453,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6254,                 1.2299,                 1.0991,                0.71584,                0.57045,                0.71328,                0.31534,                 1.9808,                 1.4728,                 1.3511,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4575,                 1.0465,                 1.0016,                0.71584,                0.57045,                0.71328,                0.31534,                 1.9808,                 1.4728,                 1.3511,               0.000713,               0.000713,               0.000713
                     68,                 1.5003,                 1.0005,                 1.0596,                0.76649,                0.58491,                0.69515,                0.30889,                  2.074,                 1.4071,                 1.3784,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4009,                 1.0528,                 1.0083,                0.76649,                0.58491,                0.69515,                0.30889,                  2.074,                 1.4071,                 1.3784,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5316,                 1.0588,                 1.0375,                0.78325,                0.58491,                0.69536,                0.27161,                 2.1461,                 1.3911,                 1.4175,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4623,                 1.0457,                0.96957,                0.78325,                0.58491,                0.69536,                0.27161,                 2.1461,                 1.3911,                 1.4175,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.401,                0.92935,                 0.9699,                0.78687,                0.56604,                0.70368,                0.28718,                 2.1088,                 1.3774,                 1.4098,               0.000614,               0.000614,               0.000614
                     73,                 1.2782,                 1.0014,                0.98339,                0.78687,                0.56604,                0.70368,                0.28718,                 2.1088,                 1.3774,                 1.4098,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5179,                 1.2347,                 1.1226,                0.59267,                0.81132,                0.72822,                0.29126,                 2.0046,                 1.3663,                 1.3649,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5364,                 1.0244,                 1.0929,                0.59267,                0.81132,                0.72822,                0.29126,                 2.0046,                 1.3663,                 1.3649,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4859,                0.98151,                0.98038,                0.62518,                0.83019,                0.72206,                0.31251,                 1.9579,                 1.3267,                 1.3436,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4534,                0.90473,                 1.0071,                0.62518,                0.83019,                0.72206,                0.31251,                 1.9579,                 1.3267,                 1.3436,               0.000515,               0.000515,               0.000515
                     78,                 1.8369,                 1.3373,                 1.2054,                0.60785,                0.83019,                0.73656,                0.32775,                 1.9252,                 1.2885,                 1.3238,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5995,                0.96272,                0.98735,                0.60785,                0.83019,                0.73656,                0.32775,                 1.9252,                 1.2885,                 1.3238,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4985,                0.97327,                 1.0369,                0.72882,                0.65925,                0.73128,                0.33155,                 1.9273,                 1.2604,                 1.3146,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5809,                0.98456,                 1.0527,                0.72882,                0.65925,                0.73128,                0.33155,                 1.9273,                 1.2604,                 1.3146,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.6634,                 1.1451,                 1.0888,                0.73739,                0.68883,                0.74585,                0.32627,                 1.9383,                  1.242,                 1.3239,               0.000416,               0.000416,               0.000416
                     83,                 1.4988,                 1.0017,                 1.0163,                0.73739,                0.68883,                0.74585,                0.32627,                 1.9383,                  1.242,                 1.3239,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4134,                0.98334,                0.99719,                0.72294,                0.67925,                0.72073,                0.32437,                 1.9647,                 1.2589,                 1.3391,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.3847,                 1.0694,                0.98001,                0.72294,                0.67925,                0.72073,                0.32437,                 1.9647,                 1.2589,                 1.3391,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.407,                0.90209,                 1.0278,                0.74569,                0.67925,                0.71819,                0.31385,                  1.992,                 1.2871,                 1.3456,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4351,                0.90352,                 1.0148,                0.74569,                0.67925,                0.71819,                0.31385,                  1.992,                 1.2871,                 1.3456,               0.000317,               0.000317,               0.000317
                     88,                  1.529,                0.96355,                 1.0297,                0.71161,                0.62264,                0.68001,                0.31225,                 1.9973,                   1.31,                 1.3463,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5158,                  1.019,                 1.0184,                0.71161,                0.62264,                0.68001,                0.31225,                 1.9973,                   1.31,                 1.3463,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2832,                 1.1784,                  1.013,                0.65618,                0.64826,                0.68138,                0.30301,                  1.999,                 1.3305,                 1.3453,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.6462,                 1.0253,                 1.0241,                0.65618,                0.64826,                0.68138,                0.30301,                  1.999,                 1.3305,                 1.3453,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.6675,                 1.1525,                 1.2373,                0.70619,                0.66038,                 0.7089,                0.30666,                 1.9854,                 1.3072,                 1.3268,               0.000218,               0.000218,               0.000218
                     93,                 1.5347,                 1.1977,                 1.0445,                0.70619,                0.66038,                 0.7089,                0.30666,                 1.9854,                 1.3072,                 1.3268,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3841,                0.94062,                 1.0463,                0.72196,                0.68597,                0.76729,                0.31862,                 1.9816,                 1.2953,                  1.318,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3627,                0.94828,                0.98425,                0.72196,                0.68597,                0.76729,                0.31862,                 1.9816,                 1.2953,                  1.318,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.5109,                0.98493,                0.97497,                0.78813,                0.66038,                0.78507,                0.32305,                 1.9736,                 1.2636,                 1.3114,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5691,                 1.0642,                 1.1597,                0.78813,                0.66038,                0.78507,                0.32305,                 1.9736,                 1.2636,                 1.3114,               0.000119,               0.000119,               0.000119
                     98,                 1.6643,                 1.0631,                 1.0988,                0.80167,                0.69811,                0.79452,                0.33268,                 1.9697,                 1.2544,                 1.3067,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4581,                0.89968,                 1.0497,                0.80167,                0.69811,                0.79452,                0.33268,                 1.9697,                 1.2544,                 1.3067,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3332,                0.95536,                0.98236,                0.83698,                0.67925,                0.80192,                0.33809,                  1.967,                 1.2459,                 1.3056,               5.96e-05,               5.96e-05,               5.96e-05
