                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.4222,                0.91836,                0.98174,                0.77821,                0.60377,                0.66137,                 0.2791,                 2.0669,                 1.4734,                    1.4,               0.000614,               0.000614,               0.000614
                     73,                 1.3026,                0.98578,                0.98939,                0.77821,                0.60377,                0.66137,                 0.2791,                 2.0669,                 1.4734,                    1.4,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5107,                 1.2392,                 1.0992,                0.77584,                0.60377,                0.67079,                0.27451,                 1.9993,                 1.4473,                 1.3691,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4866,                 1.0098,                 1.0741,                0.77584,                0.60377,                0.67079,                0.27451,                 1.9993,                 1.4473,                 1.3691,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5711,                0.99639,                 1.0186,                0.75315,                0.57577,                0.66036,                0.28898,                 1.9752,                 1.4188,                 1.3508,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4525,                0.88103,                 1.0119,                0.75315,                0.57577,                0.66036,                0.28898,                 1.9752,                 1.4188,                 1.3508,               0.000515,               0.000515,               0.000515
                     78,                 1.8165,                  1.589,                 1.2164,                0.70777,                0.60377,                0.66375,                 0.2883,                  1.987,                 1.3831,                 1.3411,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5034,                 0.9615,                0.97301,                0.70777,                0.60377,                0.66375,                 0.2883,                  1.987,                 1.3831,                 1.3411,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4498,                 1.0032,                 1.0283,                  0.663,                0.62264,                0.67756,                0.30326,                 1.9876,                 1.3577,                 1.3322,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4727,                0.99964,                 1.0241,                  0.663,                0.62264,                0.67756,                0.30326,                 1.9876,                 1.3577,                 1.3322,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.6947,                 1.1944,                 1.1062,                0.63632,                0.69811,                0.69605,                0.31615,                 1.9719,                 1.3622,                 1.3372,               0.000416,               0.000416,               0.000416
                     83,                 1.4933,                 1.0095,                 1.0104,                0.63632,                0.69811,                0.69605,                0.31615,                 1.9719,                 1.3622,                 1.3372,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.4328,                0.93914,                0.99238,                0.79684,                0.60377,                 0.7241,                0.32451,                 1.9551,                   1.36,                 1.3337,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.489,                 1.0835,                 1.0045,                0.79684,                0.60377,                 0.7241,                0.32451,                 1.9551,                   1.36,                 1.3337,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4152,                0.92507,                 1.0227,                0.86542,                0.60377,                0.72177,                0.31996,                 1.9511,                  1.379,                 1.3302,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4399,                 0.9562,                 1.0171,                0.86542,                0.60377,                0.72177,                0.31996,                 1.9511,                  1.379,                 1.3302,               0.000317,               0.000317,               0.000317
                     88,                  1.477,                 0.9645,                 1.0159,                0.80721,                0.60377,                0.73812,                0.31473,                 1.9744,                 1.3658,                 1.3317,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.5317,                0.98866,                 1.0146,                0.80721,                0.60377,                0.73812,                0.31473,                 1.9744,                 1.3658,                 1.3317,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2501,                 1.0858,                 1.0061,                0.82839,                0.62264,                0.73922,                0.31724,                 1.9689,                 1.3499,                 1.3278,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.555,                0.97734,                 1.0116,                0.82839,                0.62264,                0.73922,                0.31724,                 1.9689,                 1.3499,                 1.3278,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.7021,                 1.1454,                 1.2384,                0.81066,                0.62264,                0.73525,                0.32329,                 1.9608,                 1.3371,                 1.3252,               0.000218,               0.000218,               0.000218
                     93,                 1.4869,                 1.1046,                 1.0254,                0.81066,                0.62264,                0.73525,                0.32329,                 1.9608,                 1.3371,                 1.3252,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3715,                0.96878,                 1.0246,                0.84318,                0.64151,                0.77178,                0.30962,                   1.99,                 1.3263,                 1.3334,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3743,                0.96048,                0.97792,                0.84318,                0.64151,                0.77178,                0.30962,                   1.99,                 1.3263,                 1.3334,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4739,                0.96789,                0.97287,                0.86584,                0.64151,                0.79298,                0.31613,                 2.0091,                 1.3239,                 1.3333,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.5279,                 1.0596,                 1.1245,                0.86584,                0.64151,                0.79298,                0.31613,                 2.0091,                 1.3239,                 1.3333,               0.000119,               0.000119,               0.000119
                     98,                  1.665,                 1.0111,                 1.0943,                0.86438,                0.64151,                0.79147,                 0.3185,                 2.0082,                 1.3132,                 1.3322,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4154,                0.86597,                 1.0603,                0.86438,                0.64151,                0.79147,                 0.3185,                 2.0082,                 1.3132,                 1.3322,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.2618,                 0.9308,                0.95104,                0.86542,                0.64151,                0.79157,                0.31581,                 2.0053,                 1.3013,                 1.3293,               5.96e-05,               5.96e-05,               5.96e-05
